case_number|case_status|employer_name|job_title|soc_code|full_time_position|begin_date|end_date|total_worker_positions|new_employment|continued_employment|new_concurrent_employment|change_previous_employment|change_employer|amended_petition|employer_address1|employer_address2|employer_city|employer_state|employer_poc_last_name|employer_poc_first_name|employer_poc_job_title|secondary_entity_business_name|worksite_address1|worksite_address2|worksite_city|worksite_state|h_1b_dependent|willful_violator|prevailing_wage|employer_phone|employer_phone_ext|employer_poc_phone|employer_poc_phone_ext|employer_poc_email|h_1b_dependent
I-200-25350-487010|Certified|SYNOPSYS INC|R&D Engineering|15-1252.00|Y|2026-06-13|2029-06-12|30|5|5|5|5|5|5|675 Almanor Avenue||Sunnyvale|CA|Gattuccio|Cherry|People Operations||675 Almanor Avenue||Sunnyvale|CA|No|No|$244,129.00 |16505845000||16505847480||LCAPAFS@SYNOPSYS.COM|No
I-200-25350-485182|Certified|CGI Technologies and Solutions Inc|Software Developer|15-1252.00|Y|2026-06-12|2029-06-11|50|10|20|0|10|0|10|11325 Random Hills Road||Fairfax|VA|Grant|Tamara|U.S. Immigration Lead|PNC Financial Services|1600 Market Street||Philadelphia|PA|No|No|$131,602.00 |17032678000||12032126527||tamara.grant@cgi.com|No
I-200-25350-485528|Certified|CGI Technologies and Solutions Inc|Software Engineer|15-1252.00|Y|2026-06-12|2029-06-11|50|10|20|0|10|0|10|11325 Random Hills Road||Fairfax|VA|Grant|Tamara|U.S. Immigration Lead||538 Cajundome Blvd||Lafayette|LA|No|No|$98,613.00 |17032678000||12032126527||tamara.grant@cgi.com|No
I-200-25346-478341|Certified|Lenovo (United States) Inc|Staff Engineer, AI Application Development|15-1252.00|Y|2026-06-12|2029-06-11|1|1|0|0|0|0|0|8001 DEVELOPMENT DRIVE||MORRISVILLE|NC|Barton|Angela|US Immigration and Mobility Programs Manager||7001 Development Drive||Morrisville|NC|No|No|$113,547.00 |19192941289||19192941289||abarton@lenovo.com|No
I-200-25349-484206|Certified|Lenovo (United States) Inc|Solution Product Manager|15-1299.09|Y|2026-06-12|2029-06-11|1|1|0|0|0|0|0|8001 DEVELOPMENT DRIVE||MORRISVILLE|NC|Barton|Angela|US Immigration and Mobility Programs Manager||8001 Development Drive||Morrisville|NC|No|No|$94,952.00 |19192941289||19192941289||abarton@lenovo.com|No
I-200-25346-477907|Certified|New England Inpatient Specialists|Technology and Solutions Analyst|15-1299.08|Y|2026-06-12|2029-06-11|1|1|0|0|0|0|0|290 Littleton Road|Suite 3|Chelmsford|MA|Jaleel|Mohammed|Managing Partner||290 Littleton Road|Unit 3|Chelmsford|MA|No|No|$65,395.00 |19782584734||19782584734||mjaleel@neinsp.com|No
I-200-25352-492961|Certified|VMware LLC|R&D Engineer Software|15-1252.00|Y|2026-06-12|2029-06-11|5|2|3|0|0|0|0|3421 Hillview Avenue||Palo Alto|CA|Ozer/Thompson|Jire/Kenneth|Imm & Global Mobility Program Mgr/ Global Talent Imm Partner||3405 Hillview Avenue||Palo Alto|CA|No|No|$186,466.00 |16504276000||14084338710||jire.ozer@broadcom.com|No
I-200-25349-481283|Certified|Hitachi Digital Services LLC|Software Engineer|15-1252.00|Y|2026-06-11|2029-06-10|1|1|0|0|0|0|0|2535 Augustine Drive||Santa Clara|CA|JOB|Reuben|Director, Global Mobility & Immigration ||14643 Dallas Parkway|Suite 800|Dallas|TX|No|No|$112,923.00 |14089701000||15107424167||LCArequest@hitachivantara.com|No
I-200-25354-499681|Certified|Samsung Semiconductor Inc|Staff Engineer|15-1252.00|Y|2026-06-11|2029-06-10|20|4|4|0|4|4|4|3655 N First Street||San Jose|CA|OConnell / Vu|Kevin / Joseph|Sr. Director, Total Rewards/Sr. Specialist, HR Operations||3655 North First Street||San Jose|CA|No|No|$207,392.00 |14085444092||14085444650||immigration@ssi.samsung.com|No
I-200-25344-472443|Certified|Samsung Semiconductor Inc|Engineer, Firmware Development|15-1252.00|Y|2026-06-11|2029-06-10|20|4|4|0|4|4|4|3655 N First Street||San Jose|CA|OConnell / Vu|Kevin / Joseph|Sr. Director, Total Rewards/Sr. Specialist, HR Operations||3655 NORTH FIRST STREET||San Jose|CA|No|No|$139,722.00 |14085444092||14085444650||immigration@ssi.samsung.com|No
I-200-25353-496091|Certified|Oracle America Inc|Software Developer|15-1252.00|Y|2026-06-10|2029-06-09|50|10|10|0|10|10|10|2300 Oracle Way||Austin|TX|Nagase|Richard|Senior Immigration Specialist||500 Oracle Parkway||Redwood Shores|CA|No|No|$187,574.00 |17378671000||17378671000||ins_us@oracle.com|No
I-200-25353-496077|Certified|Oracle America Inc|Software Developer|15-1252.00|Y|2026-06-10|2029-06-09|20|4|4|0|4|4|4|2300 Oracle Way||Austin|TX|Nagase|Richard|Senior Immigration Specialist||7700 Technology Way||Denver|CO|No|No|$120,536.00 |17378671000||17378671000||ins_us@oracle.com|No
I-200-25351-490789|Certified|Oracle America Inc|Technical Analyst|15-1211.00|Y|2026-06-10|2029-06-09|20|4|4|0|4|4|4|2300 Oracle Way||Austin|TX|Nagase|Richard|Senior Immigration Specialist||2300 Oracle Way||Austin|TX|No|No|$130,250.00 |17378671000||17378671000||ins_us@oracle.com|No
I-200-25351-490714|Certified|Oracle America Inc|Software Developer|15-1252.00|Y|2026-06-10|2029-06-09|30|6|6|0|6|6|6|2300 Oracle Way||Austin|TX|Nagase|Richard|Senior Immigration Specialist||4120 Network Circle||Santa Clara|CA|No|No|$185,453.00 |17378671000||17378671000||ins_us@oracle.com|No
I-200-25351-490483|Certified|Oracle America Inc|Software Developer|15-1252.00|Y|2026-06-10|2029-06-09|25|5|5|0|5|5|5|2300 Oracle Way||Austin|TX|Nagase|Richard|Senior Immigration Specialist||4120 Network Circle||Santa Clara|CA|No|No|$219,536.00 |17378671000||17378671000||ins_us@oracle.com|No
I-200-25351-490496|Certified|Oracle America Inc|Software Developer|15-1252.00|Y|2026-06-10|2029-06-09|25|5|5|0|5|5|5|2300 Oracle Way||Austin|TX|Nagase|Richard|Senior Immigration Specialist||4120 Network Circle||Santa Clara|CA|No|No|$254,900.00 |17378671000||17378671000||ins_us@oracle.com|No
I-200-25351-490524|Certified|Oracle America Inc|IT Business Implementation Analyst|15-1252.00|Y|2026-06-10|2029-06-09|20|4|4|0|4|4|4|2300 Oracle Way||Austin|TX|Nagase|Richard|Senior Immigration Specialist||500 Oracle Parkway||Redwood Shores|CA|No|No|$164,501.00 |17378671000||17378671000||ins_us@oracle.com|No
I-200-25344-470780|Certified|Palo Alto Networks Inc|Principal Software Engineer|15-1252.00|Y|2026-06-10|2029-06-09|25|5|5|0|5|5|5|3000 Tannery Way||Santa Clara|CA|Jones|Kelly|Sr. Mgr, Immigration & Global Mob.||3000 Tannery Way||Santa Clara|CA|No|No|$212,867.00 |14087534000||14087534000||globalmobility@paloaltonetworks.com|No
I-200-25344-470424|Certified|Oracle America Inc|Programmer Analyst -IT|15-1253.00|Y|2026-06-06|2029-06-05|20|4|4|0|4|4|4|2300 Oracle Way||Austin|TX|Nagase|Richard|Senior Immigration Specialist||4120 Network Circle||Santa Clara|CA|No|No|$197,517.00 |17378671000||17378671000||ins_us@oracle.com|No
I-200-25344-470652|Certified|CGI Technologies and Solutions Inc|Software Engineer|15-1252.00|Y|2026-06-05|2029-06-04|50|10|20|0|10|0|10|11325 Random Hills Road||Fairfax|VA|Grant|Tamara|U.S. Immigration Lead|PNC Financial Services|620 Liberty Ave||Pittsburgh|PA|No|No|$98,197.00 |17032678000||12032126527||tamara.grant@cgi.com|No
I-200-25352-494198|Certified|Cisco Systems Inc|Software QA Engineer|15-1253.00|Y|2026-06-05|2029-06-04|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||3625 Cisco Way||San Jose|CA|No|No|$165,422.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25353-497896|Certified|Cisco Systems Inc|Engineering Technical Leader|15-1252.00|Y|2026-06-05|2029-06-04|50|2|30|0|5|10|3|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||821 Alder Dr||Milpitas|CA|No|No|$226,138.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25343-469525|Certified|Texas Health and Human Services Commission|Data Analyst|15-1299.06|Y|2026-06-05|2029-06-04|1|1|0|0|0|0|0|909 West 45th Street|Mail Code 2023|Austin|TX|Tippie|Amy|Deputy Director of Human Resources||4110 Guadalupe St|Bldg 552|Austin|TX|No|No|$59,280.00 |15124831577||15124831577||OCC_Immigration@hhs.texas.gov|No
I-200-25348-481055|Certified|ServiceNow Inc|Senior Staff Solution Architect|15-1252.00|Y|2026-06-04|2029-06-03|20|4|4|0|4|4|4|2225 Lawson Lane||Santa Clara|CA|Contreras|Sergio|Sr Global Mobility Manager||4810 Eastgate Mall||San Diego|CA|No|No|$184,974.00 |14085018550||18587200477||globalmobility@servicenow.com|No
I-200-25349-483020|Certified|Cisco Systems Inc|Software Engineer|15-1252.00|Y|2026-06-02|2029-06-01|15|3|3|0|3|3|3|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||7900 Tysons One Pl  1000||McLean|VA|No|No|$150,758.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25349-483021|Certified|Cisco Systems Inc|Software Consulting Engineer|15-1252.00|Y|2026-06-02|2029-06-01|35|7|7|0|7|7|7|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||2300 E President George Bush Hwy||Richardson|TX|No|No|$134,971.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25346-480344|Certified|Cisco Systems Inc|Software Engineering Technical Leader|15-1252.00|Y|2026-06-02|2029-06-01|50|10|10|0|10|10|10|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||500 Terry A Francois Blvd.||San Francisco|CA|No|No|$187,574.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25346-480329|Certified|Cisco Systems Inc|Software Engineer|15-1252.00|Y|2026-06-02|2029-06-01|50|2|35|0|5|5|3|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||225 E Tasman Dr||San Jose|CA|No|No|$167,105.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25350-488540|Certified|Cisco Systems Inc|Software Engineering Technical Leader|15-1252.00|Y|2026-06-02|2029-06-01|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||8135 Maple Lawn Blvd||Fulton|MD|No|No|$151,091.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25345-476176|Certified|Cisco Systems Inc|Engineering Technical Leader|15-1252.00|Y|2026-06-02|2029-06-01|50|2|35|0|5|5|3|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||821 Alder Dr.||Milpitas|CA|No|No|$197,162.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25345-476192|Certified|Cisco Systems Inc|Customer Delivery Architect|15-1241.00|Y|2026-06-02|2029-06-01|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||7100-8 Kit Creek Rd||Morrisville|NC|No|No|$120,702.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25345-473880|Certified|Cisco Systems Inc|Product Manager|15-1299.09|Y|2026-06-02|2029-06-01|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||260 E Tasman Drive||San Jose|CA|No|No|$181,293.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25356-502471|Certified|Cisco Systems Inc|High Touch Engineering Technical Leader|15-1244.00|Y|2026-06-02|2029-06-01|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||7200 Kit Creek Rd||Morrisville|NC|No|No|$104,728.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25356-502468|Certified|Cisco Systems Inc|Engineering Product Manager|15-1299.09|Y|2026-06-02|2029-06-01|30|6|6|0|6|6|6|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||560 McCarthy Blvd||Milpitas|CA|No|No|$181,293.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25346-478609|Certified|Cisco Systems Inc|Engineering Technical Leader|15-1252.00|Y|2026-06-02|2029-06-01|30|6|6|0|6|6|6|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||7200-11 Kit Creek Rd||Research Triangle Park|NC|No|No|$139,214.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25346-478584|Certified|Cisco Systems Inc|Software Engineer|15-1252.00|Y|2026-06-02|2029-06-01|15|3|3|0|3|3|3|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||125 High Street|High-Street Tower|Boston|MA|No|No|$154,606.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25345-474057|Certified|Cisco Systems Inc|Software QA Technical Leader|15-1253.00|Y|2026-06-02|2029-06-01|30|6|6|6|0|6|6|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||12515 Research Blvd.|Building 3|Austin|TX|No|No|$106,662.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25342-465330|Certified|Cisco Systems Inc|Software Development Test Engineer|15-1253.00|Y|2026-06-01|2029-05-31|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||560 McCarthy Blvd||Milpitas|CA|No|No|$129,792.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25342-465711|Certified|Cisco Systems Inc|Software QA Engineer|15-1253.00|Y|2026-06-01|2029-05-31|10|2|2|0|2|2|2|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||4125 Highlander Pkwy||Richfield|OH|No|No|$73,299.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25344-472457|Certified|Cisco Systems Inc|Customer Delivery Architect|15-1241.00|Y|2026-06-01|2029-05-31|30|6|6|6|0|6|6|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||3625 Cisco Way||San Jose|CA|No|No|$186,056.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25344-473058|Certified|Cisco Systems Inc|Solutions Architect|15-1241.00|Y|2026-06-01|2029-05-31|30|2|15|0|5|5|3|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||500 Terry A Francois Blvd||San Francisco|CA|No|No|$160,597.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25342-465368|Certified|Cisco Systems Inc|Customer Experience Customer Success Specialist|15-1244.00|Y|2026-06-01|2029-05-31|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||2300 E President George Bush Hwy||Richardson|TX|No|No|$105,102.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25343-470148|Certified|Cisco Systems Inc|Solutions Architect|15-1241.00|Y|2026-06-01|2029-05-31|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||7100-9 Kit Creek Rd||Morrisville|NC|No|No|$120,702.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25339-462025|Certified|Cisco Systems Inc|Cloud Engineer|15-1252.00|Y|2026-06-01|2029-05-31|10|2|2|0|2|2|2|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||1 Pennsylvania Plaza|6th & 9th Floors|New York|NY|No|No|$160,805.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25339-459538|Certified|Cisco Systems Inc|Engineering Technical Leader|15-1252.00|Y|2026-06-01|2029-05-31|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||2250 East President George Bush Highway||Richardson|TX|No|No|$134,971.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25339-459544|Certified|Cisco Systems Inc|Security Engineering Technical Leader|15-1299.05|Y|2026-06-01|2029-05-31|15|3|3|0|3|3|3|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||13600 Dulles Technology Drive||Herndon|VA|No|No|$140,837.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25338-458938|Certified|Cisco Systems Inc|High Touch Engineering Technical Leader|15-1299.09|Y|2026-06-01|2029-05-31|25|5|5|0|5|5|5|170 West Tasman Drive||San Jose|CA|Le / Cho-Vera / DSouza|Lyna / Becky / Kyle|Mobility Cons., Imm. Mgr / Mob. Spc. / Mob. Cons., Imm. Ldr.||2300 E President George Bush Hwy|4th floor|Richardson|TX|No|No|$118,456.00 |14085264000||14085264000||kdsc@cisco.com|No
I-200-25345-477062|Certified|Iowa State University of Science and Technology|Software Developer III|15-1295.00|Y|2026-06-01|2029-05-31|1|1|0|0|0|0|0|2229 Lincoln Way|4530 Memorial Union|Ames|IA|Fincham|Jessica|Senior Immigration Specialist||2401 Osborn Drive|112 Office and Laboratory Building|Ames|IA|No|No|$99,091.00 |15152941120||15152940377||jfincham@iastate.edu|No
I-200-25352-493714|Certified|Medline Industries, LP.|Ld Server|15-1244.00|Y|2026-06-01|2029-05-31|1|1|0|0|0|0|0|Three Lakes Dr.||Northfield|IL|DeBlauw / Vannette / Keck|Karrie / Jessica / Matthew|Mgr Glbl Mobility/Glbl Mobility Spec/Glbl Mobility Sr Spec||225 Harvest Ct.||Vernon Hills|IL|No|No|$120,182.00 |12249317656||12249317656||globalmobility@medlinehr.zendesk.com|No
I-200-25352-493713|Certified|Medline Industries, LP.|Ld Server|15-1244.00|Y|2026-06-01|2029-05-31|1|1|0|0|0|0|0|Three Lakes Dr.||Northfield|IL|DeBlauw / Vannette / Keck|Karrie / Jessica / Matthew|Mgr Glbl Mobility/Glbl Mobility Spec/Glbl Mobility Sr Spec||2375 Waterview Dr.||Northbrook|IL|No|No|$120,182.00 |12249317656||12249317656||globalmobility@medlinehr.zendesk.com|No
I-200-25356-502665|Certified|Montefiore Medical Center|Informatics Developer|15-1252.00|Y|2026-06-01|2029-05-31|1|1|0|0|0|0|0|111 East 210th Street||Bronx|NY|Roldan|Leticia|Senior HR Specialist||6 Executive Plaza|Suite 112A|Yonkers|NY|No|No|$103,210.00 |17189205994||17189205994||N/A|No
I-200-25351-492112|Certified|Quandary Peak Research Inc|Principal Software Consultant|15-1221.00|Y|2026-06-01|2029-05-31|1|1|0|0|0|0|0|205 S Broadway|Suite 300|Los Angeles|CA|Edwards|George|President and Principal Computer Scientist||22320 Foothill Blvd|Ste. 460|Hayward|CA|No|No|$134,139.00 |18889599639||13235453933||george@quandarypeak.com|No
I-202-25337-455816|Certified|TRIEDATA INC|SOFTWARE DEVELOPER|15-1252.00|Y|2026-06-01|2029-05-31|1|1|0|0|0|0|0|701 MARKET STREET|SUITE 115|ST. AUGUSTINE|FL|CHEN|MIN|C O O||701 MARKET STREET|SUITE 115|ST. AUGUSTINE|FL|N/A|N/A|$76,378.00 |19044158732||19044158732||MIN.CHEN@TRIEDATA.COM|N/A
I-200-25346-477833|Certified|The Northern Trust Company|Information Security Engineer|15-1299.05|Y|2026-06-01|2029-05-31|3|3|0|0|0|0|0|50 South LaSalle Street||Chicago|IL|Ryan|Denise|Global Mobility Consultant||333 S. Wabash Ave.||Chicago|IL|No|No|$132,434.00 |13125579768||13125579768||dkr2@ntrs.com|No
I-200-25346-477828|Certified|The Northern Trust Company|Software Developer|15-1252.00|Y|2026-06-01|2029-05-31|3|3|0|0|0|0|0|50 South LaSalle Street||Chicago|IL|Ryan|Denise|Global Mobility Consultant||50 S. LaSalle St.||Chicago|IL|No|No|$153,317.00 |13125579768||13125579768||dkr2@ntrs.com|No
I-200-25344-473773|Certified|The Northern Trust Company|Software Developer|15-1252.00|Y|2026-06-01|2029-05-31|10|10|0|0|0|0|0|50 South LaSalle Street||Chicago|IL|Ryan|Denise|Global Mobility Consultant||333 S. Wabash Ave.||Chicago|IL|No|No|$130,707.00 |13125579768||13125579768||dkr2@ntrs.com|No
I-200-25344-473781|Certified|The Northern Trust Company|Software Developer|15-1252.00|Y|2026-06-01|2029-05-31|10|10|0|0|0|0|0|50 South LaSalle Street||Chicago|IL|Ryan|Denise|Global Mobility Consultant||333 S. Wabash Ave.||Chicago|IL|No|No|$153,317.00 |13125579768||13125579768||dkr2@ntrs.com|No
I-200-25346-477837|Certified|The Northern Trust Company|Database Architect|15-1243.00|Y|2026-06-01|2029-05-31|3|3|0|0|0|0|0|50 South LaSalle Street||Chicago|IL|Ryan|Denise|Global Mobility Consultant||181 W. Madison St.||Chicago|IL|No|No|$136,885.00 |13125579768||13125579768||dkr2@ntrs.com|No
I-200-25346-478562|Certified|University of Michigan|User Interface Design Engineer Associate|15-1255.00|Y|2026-06-01|2029-05-31|1|1|0|0|0|0|0|International Center|515 E. Jefferson Street, 1500 SAB|Ann Arbor|MI|Buzzi|Ugo|Immigration Adviser||515 E. Jefferson Street, 1500 SAB||Ann Arbor|MI|No|No|$35,464.00 |17347634081||17347634081||ubuzzi@umich.edu|No
