case_number|case_status|employer_name|job_title|soc_code|full_time_position|begin_date|end_date|total_worker_positions|new_employment|continued_employment|new_concurrent_employment|change_previous_employment|change_employer|amended_petition|employer_address1|employer_address2|employer_city|employer_state|employer_poc_last_name|employer_poc_first_name|employer_poc_job_title|secondary_entity_business_name|worksite_address1|worksite_address2|worksite_city|worksite_state|h_1b_dependent|willful_violator|prevailing_wage|employer_phone|employer_phone_ext|employer_poc_phone|employer_poc_phone_ext|employer_poc_email|h_1b_dependent
I-200-26084-730400|Certified|Google LLC|Software Engineer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Aziz/Quinn/Anderson/Wang/LeSeur|Ayesha/Jessica/Andru/Fei/Harry|Program Managers|No||111 8th Avenue|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
I-200-26085-730743|Certified|Google LLC|Software Engineer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Aziz/Quinn/Anderson/Wang/LeSeur|Ayesha/Jessica/Andru/Fei/Harry|Program Managers|No||1195 Borregas Drive|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
I-200-26083-724307|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||5000 W Chandler Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26083-724396|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||5000 W Chandler Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26083-724465|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||2200 Mission College Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26083-725553|Certified|Palo Alto Networks Inc|Senior Staff Researcher|15-1299.05|Y|2026-09-23|2029-09-22|25|5|5|0|5|5|5|3000 Tannery Way||Santa Clara|CA|Jones|Kelly|Sr. Mgr, Immigration & Global Mob.|No||3000 Tannery Way|||Yes|No|Year|14087534000||14087534000||globalmobility@paloaltonetworks.com|Yes
I-200-26083-725530|Certified|Palo Alto Networks Inc|Senior Staff Engineer Software|15-1252.00|Y|2026-09-23|2029-09-22|25|5|5|0|5|5|5|3000 Tannery Way||Santa Clara|CA|Jones|Kelly|Sr. Mgr, Immigration & Global Mob.|No||1201 2nd Ave|Suite 2500||Yes|No|Year|14087534000||14087534000||globalmobility@paloaltonetworks.com|Yes
I-200-26084-729094|Certified|Sandisk Technologies Inc|Technologist, Firmware Engineering|15-1252.00|Y|2026-09-23|2029-09-22|25|5|5|0|5|5|5|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||951 Sandisk Drive|||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26084-728991|Certified|Sandisk Technologies Inc|Senior Engineer, Firmware Verification Engineering|15-1253.00|Y|2026-09-23|2029-09-22|25|5|5|0|5|5|5|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||951 Sandisk Drive|||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26084-728994|Certified|Sandisk Technologies Inc|Senior Engineer, Firmware Verification Engineering|15-1253.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||39600 Fremont Blvd|Apt 94||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26084-729046|Certified|Sandisk Technologies Inc|Senior Engineer, Data Analytics Engineering|15-1243.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||754 The Alameda|||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26084-729044|Certified|Sandisk Technologies Inc|Senior Engineer, Data Analytics Engineering|15-1243.00|Y|2026-09-23|2029-09-22|25|5|5|0|5|5|5|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||951 Sandisk Drive|||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26084-729106|Certified|Sandisk Technologies Inc|Technologist, Firmware Engineering|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||680 Epic Way|Apt 557||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26084-728939|Certified|Sandisk Technologies Inc|Engineer, Firmware Engineering|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||400 Queen Anne Ave N|APT 522||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26083-725984|Certified|Tesla Inc|Systems Engineer|15-1244.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1 Tesla Road||Austin|TX|Fuccello|Aaron|Corporate Counsel|No||1 Tesla Road|||Yes|No|Year|15129384337||15129384337||afuccello@tesla.com|Yes
I-200-26084-727812|Certified|CGI Technologies and Solutions Inc|Software Architect|15-1252.00|Y|2026-09-23|2029-09-22|50|10|20|0|0|10|10|11325 Random Hills Road||Fairfax|VA|Grant|Tamara|U.S. Immigration Lead|Yes|PNC Financial Services|620 Liberty Ave|||Yes|No|Year|17032678000||12032126527||tamara.grant@cgi.com|Yes
I-200-26084-728912|Certified|ADP Technology Services Inc|Senior Lead Software Engineer|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||71 Hanover Road|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-728948|Certified|ADP Technology Services Inc|Senior Lead Software Engineer|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||71 Hanover Road|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-728933|Certified|ADP Technology Services Inc|Senior Lead Software Engineer|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||71 Hanover Road|||Yes|No|Year|19739745000||19739745067||BECKY.KOCAK@ADP.COM|Yes
I-200-26084-727644|Certified|Apple Inc|Machine Learning Engineer|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|One Apple Park Way||Cupertino|CA|LAWHORN|SHAWNA|IMMIGRATION PROGRAM MANAGER|No||20230 Stevens Creek Boulevard|||Yes|No|Year|14089742562||16692695460||immigration_notifications@apple.com|Yes
I-200-26084-727763|Certified|Apple Inc|Software Engineering Applications|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|One Apple Park Way||Cupertino|CA|LAWHORN|SHAWNA|IMMIGRATION PROGRAM MANAGER|No||15 Results Way|||Yes|No|Year|14089742562||16692695460||immigration_notifications@apple.com|Yes
I-200-26082-722169|Certified|First Horizon Bank|API Developer - Java|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|165 Madison Avenue|Third Floor|Memphis|TN|Bolden|Jabiana|VP, Talent Acquisition & Onboarding Manager|No||3451 Prescott Rd|||Yes|No|Year|13375214427||13375214427||jbolden@firsthorizon.com|Yes
I-200-26082-721801|Certified|Gates Corporation|Sr. Oracle Q2C Analyst|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|1144 Fifteenth Street|Suite 1400|Denver|CO|Blanton|Kirsten|Director, HR, Corporate Functions|No||1144 Fifteenth Street|Suite 1400||Yes|No|Year|13037444244||13038986917||Kirsten.Blanton@gates.com|Yes
I-200-26082-722122|Certified|Gates Corporation|Cyber Security Engineer|15-1212.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|1144 Fifteenth Street|Suite 1400|Denver|CO|Blanton|Kirsten|Director, HR, Corporate Functions|No||1144 Fifteenth Street|Suite 1400||Yes|No|Year|13037444244||13038986917||Kirsten.Blanton@gates.com|Yes
I-200-26083-726094|Certified|Gilead Sciences Inc|R&D Info Systems Analyst II|15-1211.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|333 Lakeside Drive||Foster City|CA|Zhou / Boucher|Sissi / Kelli|Sr Global Mobility Manager / Sr. Manager, Global Mobility|No||333 Lakeside Drive|||Yes|No|Year|16505743000||16505743000||globalmobilityservices@gilead.com|Yes
I-200-26082-723292|Certified|Google LLC|Software Engineer|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Aziz/Quinn/Anderson/Wang/LeSeur|Ayesha/Jessica/Andru/Fei/Harry|Program Managers|No||1600 Amphitheatre Parkway|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
I-200-26084-727656|Certified|Intel Corporation|Research Scientist|15-1221.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||2200 Mission College Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26084-727702|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||2200 Mission College Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26082-721285|Certified|Microsoft Corporation|Software Engineering|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|1 Microsoft Way|N/A|Redmond|WA|Covington|Lee Mary|Business Program Manager|No||One Microsoft Way|||Yes|No|Year|14258828080||14258828080||PAF@MICROSOFT.COM|Yes
I-200-26084-727665|Certified|Palo Alto Networks Inc|Senior Staff UX Designer|15-1255.00|Y|2026-09-22|2029-09-21|25|5|5|0|5|5|5|3000 Tannery Way||Santa Clara|CA|Jones|Kelly|Sr. Mgr, Immigration & Global Mob.|No||3000 Tannery Way|||Yes|No|Year|14087534000||14087534000||globalmobility@paloaltonetworks.com|Yes
I-200-26082-723429|Certified|Salesforce Inc|Software Engineering SMTS|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|415 Mission St.||San Francisco|CA|Barnes / Luchnik|Matthew / Alex|Partner - US Immigration|No||415 Mission St.|||Yes|No|Year|14153097215||14153097215||aluchnik@salesforce.com|Yes
I-200-26083-725742|Certified|Salesforce Inc|Software Engineering MTS|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|415 Mission St.||San Francisco|CA|Barnes / Luchnik|Matthew / Alex|Partner - US Immigration|No||929 108th Ave NE|Ste 1800||Yes|No|Year|14153097215||14153097215||aluchnik@salesforce.com|Yes
I-200-26083-725929|Certified|Salesforce Inc|Software Engineering MTS|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|415 Mission St.||San Francisco|CA|Barnes / Luchnik|Matthew / Alex|Partner - US Immigration|No||415 Mission St|||Yes|No|Year|14153097215||14153097215||aluchnik@salesforce.com|Yes
I-200-26083-725781|Certified|Salesforce Inc|Senior Machine Learning Scientist|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|415 Mission St.||San Francisco|CA|Barnes / Luchnik|Matthew / Alex|Partner - US Immigration|No||415 Mission Street|||Yes|No|Year|14153097215||14153097215||aluchnik@salesforce.com|Yes
I-200-26082-723409|Certified|Salesforce Inc|Software Engineering MTS|15-1253.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|415 Mission St.||San Francisco|CA|Barnes / Luchnik|Matthew / Alex|Partner - US Immigration|No||929 108th Ave NE|Ste 1800||Yes|No|Year|14153097215||14153097215||aluchnik@salesforce.com|Yes
I-200-26083-727070|Certified|Sandisk Technologies Inc|Senior Engineer, Firmware Engineering|15-1252.00|Y|2026-09-22|2029-09-21|25|5|5|0|5|5|5|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||951 Sandisk Drive|||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26083-727073|Certified|Sandisk Technologies Inc|Senior Engineer, Firmware Engineering|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||1102 S. Abel Street|Apt 270||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26082-723168|Certified|Sandisk Technologies Inc|Staff Engineer, Software Development Engineering (Apps)|15-1252.00|Y|2026-09-22|2029-09-21|1|1|0|0|0|0|0|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||39639 Leslie St.|Apt. 281||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26082-723163|Certified|Sandisk Technologies Inc|Staff Engineer, Software Development Engineering (Apps)|15-1252.00|Y|2026-09-22|2029-09-21|25|5|5|0|5|5|5|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||951 Sandisk Drive|||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26082-721407|Certified|Obayashi Corporation|IT Security Analyst|15-1299.05|Y|2026-09-21|2029-09-20|1|1|0|0|0|0|0|950 Tower Lane|Ste 800|Foster City|CA|Kwok|Noel|HR Business Partner|No||950 Tower Lane|Ste 800||Yes|No|Year|16509524910||16505046972||noel.kwok@obayashi-usa.com|Yes
I-200-26083-724463|Certified|CGI Technologies and Solutions Inc|Software Developer|15-1252.00|Y|2026-09-20|2029-09-19|50|10|20|0|0|10|10|11325 Random Hills Road||Fairfax|VA|Grant|Tamara|U.S. Immigration Lead|No||1111 EAST MAIN STREET|SUITE 615||Yes|No|Year|17032678000||12032126527||tamara.grant@cgi.com|Yes
I-200-26083-725513|Certified|Palo Alto Networks Inc|Staff Software Engineer|15-1252.00|Y|2026-09-20|2029-09-19|25|5|5|0|5|5|5|3000 Tannery Way||Santa Clara|CA|Jones|Kelly|Sr. Mgr, Immigration & Global Mob.|No||3000 Tannery Way|||Yes|No|Year|14087534000||14087534000||globalmobility@paloaltonetworks.com|Yes
I-200-26083-727200|Certified|Google LLC|Security Engineer|15-1299.05|Y|2026-09-19|2029-09-18|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Aziz/Quinn/Anderson/Wang/LeSeur|Ayesha/Jessica/Andru/Fei/Harry|Program Managers|No||2 Harrison St|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
I-200-26084-728598|Certified|Google LLC|Research Scientist|15-1221.00|Y|2026-09-19|2029-09-18|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Aziz/Quinn/Anderson/Wang/LeSeur|Ayesha/Jessica/Andru/Fei/Harry|Program Managers|No||111 8th Avenue|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
I-200-26084-728268|Certified|Google LLC|Research Engineer|15-1221.00|Y|2026-09-19|2029-09-18|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Aziz/Quinn/Anderson/Wang/LeSeur|Ayesha/Jessica/Andru/Fei/Harry|Program Managers|No||2000 N. Shoreline Blvd|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
I-200-26084-727608|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-19|2029-09-18|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||1900 Prairie City Rd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26079-717467|Certified|Palo Alto Networks Inc|Senior Staff Engineer Software|15-1252.00|Y|2026-09-19|2029-09-18|25|5|5|0|5|5|5|3000 Tannery Way||Santa Clara|CA|Jones|Kelly|Sr. Mgr, Immigration & Global Mob.|No||3000 Tannery Way|||Yes|No|Year|14087534000||14087534000||globalmobility@paloaltonetworks.com|Yes
I-200-26079-720168|Certified|Sandisk Technologies Inc|Staff Engineer, Software Development Engineering|15-1252.00|Y|2026-09-19|2029-09-18|25|5|5|0|5|5|5|951 Sandisk Drive||Milpitas|CA|Pham|Ha|Specialist 2, Global Mobility|No||951 Sandisk Drive|||Yes|No|Year|14088010769||14088010769||marina.pham@sandisk.com|Yes
I-200-26078-715985|Certified|ADP Technology Services Inc|Application Developer|15-1252.00|Y|2026-09-18|2029-09-17|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||5800 Windward Parkway|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26078-715973|Certified|ADP Technology Services Inc|Application Developer|15-1252.00|Y|2026-09-18|2029-09-17|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||5800 Windward Parkway|||Yes|No|Year|19739745000||19739745067||BECKY.KOCAK@ADP.COM|Yes
I-200-26078-715919|Certified|ADP Technology Services Inc|Application Developer|15-1252.00|Y|2026-09-18|2029-09-17|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||5995 Windward Parkway|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26078-716142|Certified|ADP Technology Services Inc|Application Developer|15-1252.00|Y|2026-09-18|2029-09-17|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||5995 Windward Parkway|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26078-715949|Certified|ADP Technology Services Inc|Application Developer|15-1252.00|Y|2026-09-18|2029-09-17|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||5800 Windward Parkway|||Yes|No|Year|19739745000||19739745067||BECKY.KOCAK@ADP.COM|Yes
I-200-26078-716050|Certified|ADP Technology Services Inc|Application Developer|15-1252.00|Y|2026-09-18|2029-09-17|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||5800 Windward Parkway|||Yes|No|Year|19739745000||19739745067||BECKY.KOCAK@ADP.COM|Yes
I-200-26078-716024|Certified|ADP Technology Services Inc|Application Developer|15-1252.00|Y|2026-09-18|2029-09-17|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||5995 Windward Parkway|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26078-717052|Certified|Anthropic, PBC|Member of Technical Staff (Manager)|15-1221.00|Y|2026-09-18|2029-09-17|1|1|0|0|0|0|0|548 Market Street|PMB 90375|San Francisco|CA|Go / Blanton / Roy / Baron|Elaine / Virginia / Bharti / Elysa|Mobility /Head of Global Mobility/ Mobility / Mobility|No||500 Howard Street|||Yes|No|Year|14153266303||14159861446||immigration@anthropic.com|Yes
