-[ RECORD 1 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-492958
job_title                      | Hospitalist Physician
employer_name                  | Apogee Medical Group, Delaware Inc
secondary_entity_business_name | 
employer_phone                 | 12143689600
employer_poc_first_name        | Jacqueline
employer_poc_last_name         | Gallina
employer_poc_email             | jacqueline.gallina@apogeephysicians.com
employer_poc_phone             | 16026896139
employer_poc_phone_ext         | 
worksite_address1              | 640 S State Street
worksite_address2              | 
worksite_city                  | Dover
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 8117 Preston Road
employer_address2              | Suite 800
employer_city                  | Dallas
employer_state                 | TX
employer_postal_code           | 75225
begin_date                     | 2026-06-15
end_date                       | 2029-06-14
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Apogee Medical Group, Delaware Inc
soc_code                       | 29-1229.02
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-493109
job_title                      | Hospitalist Physician
employer_name                  | Apogee Medical Group, Delaware Inc
secondary_entity_business_name | 
employer_phone                 | 12143689600
employer_poc_first_name        | Jacqueline
employer_poc_last_name         | Gallina
employer_poc_email             | jacqueline.gallina@apogeephysicians.com
employer_poc_phone             | 16026896139
employer_poc_phone_ext         | 
worksite_address1              | 100 Wellness Way
worksite_address2              | 
worksite_city                  | Milford
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 8117 Preston Road
employer_address2              | Suite 800
employer_city                  | Dallas
employer_state                 | TX
employer_postal_code           | 75225
begin_date                     | 2026-06-15
end_date                       | 2029-06-14
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Apogee Medical Group, Delaware Inc
soc_code                       | 29-1229.02
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25349-481653
job_title                      | Quantitative Modeler Manager
employer_name                  | U.S. Bank National Association
secondary_entity_business_name | 
employer_phone                 | 16123039841
employer_poc_first_name        | Beth
employer_poc_last_name         | Dobrydnia
employer_poc_email             | immigrationshared@usbank.com
employer_poc_phone             | 16123039841
employer_poc_phone_ext         | 
worksite_address1              | 1011 Centre Rd.
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Morgan Lewis & Bockius LLP
employer_address1              | 800 Nicollet Mall
employer_address2              | 
employer_city                  | Minneapolis
employer_state                 | MN
employer_postal_code           | 55402
begin_date                     | 2026-06-15
end_date                       | 2029-06-14
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | U.S. Bank National Association
soc_code                       | 15-2041.00
h_1b_dependent                 | No
-[ RECORD 6 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25351-491785
job_title                      | Vice President, Lead Software Engineer
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-06-13
end_date                       | 2029-06-12
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 7 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-492875
job_title                      | Software Development Engineering - Advisor I
employer_name                  | Fiserv Solutions LLC
secondary_entity_business_name | 
employer_phone                 | 12628795000
employer_poc_first_name        | Katherine
employer_poc_last_name         | Adams
employer_poc_email             | globalmobility.corporatehr@fiserv.com
employer_poc_phone             | 12628795000
employer_poc_phone_ext         | 
worksite_address1              | 1100 Carr Road
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Fragomen Del Rey Bernsen & Loewy LLP
employer_address1              | Fiserv, Inc., 600 N. Vel R. Phillips Avenue
employer_address2              | 
employer_city                  | Milwaukee
employer_state                 | WI
employer_postal_code           | 53203
begin_date                     | 2026-06-12
end_date                       | 2029-06-11
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Fiserv Solutions LLC
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 8 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25351-489577
job_title                      | Associate, Software Engineer III
employer_name                  | JPMORGAN CHASE & CO.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 South Dearborn Street
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-06-12
end_date                       | 2029-06-11
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMORGAN CHASE & CO.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 9 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25351-489572
job_title                      | Vice President, Strategic Analytics
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 201 N Walnut St
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-06-12
end_date                       | 2029-06-11
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 13-2041.00
h_1b_dependent                 | No
-[ RECORD 10 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-492955
job_title                      | Associate, Software Engineer III
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-06-12
end_date                       | 2029-06-11
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 11 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-493434
job_title                      | Associate, Software Engineer III
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-06-12
end_date                       | 2029-06-11
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 12 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25345-476555
job_title                      | Spanish Immersion Teacher
employer_name                  | Seaford School District
secondary_entity_business_name | 
employer_phone                 | 13026294587
employer_poc_first_name        | Jason
employer_poc_last_name         | Cameron
employer_poc_email             | jason.cameron@seaford.k12.de.us
employer_poc_phone             | 13026294587
employer_poc_phone_ext         | 
worksite_address1              | 100 N Pine st
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Hogan & Vandenberg
employer_address1              | 390 North Market Street Extension
employer_address2              | 
employer_city                  | Seaford
employer_state                 | DE
employer_postal_code           | 19973
begin_date                     | 2026-06-12
end_date                       | 2029-06-11
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Seaford School District
soc_code                       | 25-3099.00
h_1b_dependent                 | No
-[ RECORD 13 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-494959
job_title                      | Manager JC50 - Computer Systems Engineers/Architects
employer_name                  | COGNIZANT TECHNOLOGY SOLUTIONS US CORP
secondary_entity_business_name | 
employer_phone                 | 19793296682
employer_poc_first_name        | Daniel
employer_poc_last_name         | Shakespeare
employer_poc_email             | lca.immigration@cognizant.com
employer_poc_phone             | 16176207316
employer_poc_phone_ext         | 
worksite_address1              | 3616 Society Dr
worksite_address2              | 
worksite_city                  | Claymont
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 211 QUALITY CIRCLE
employer_address2              | 
employer_city                  | COLLEGE STATION
employer_state                 | TX
employer_postal_code           | 77845
begin_date                     | 2026-06-11
end_date                       | 2029-06-10
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | COGNIZANT TECHNOLOGY SOLUTIONS US CORP
soc_code                       | 15-1299.08
h_1b_dependent                 | Yes
-[ RECORD 14 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25344-471892
job_title                      | Executive Director, Analytics Solutions Manager
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 500 Stanton Christiana Road
worksite_address2              | 
worksite_city                  | Newark
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-06-10
end_date                       | 2029-06-09
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-2051.01
h_1b_dependent                 | No
-[ RECORD 15 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25350-485144
job_title                      | Engineer Sr.
employer_name                  | Elevance Health Inc
secondary_entity_business_name | 
employer_phone                 | 17274048672
employer_poc_first_name        | Joann
employer_poc_last_name         | Kim
employer_poc_email             | joann.kim@elevancehealth.com
employer_poc_phone             | 17274048672
employer_poc_phone_ext         | 
worksite_address1              | 123 S Justison St.
worksite_address2              | Ste 200
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 220 Virginia Ave
employer_address2              | 
employer_city                  | Indianapolis
employer_state                 | IN
employer_postal_code           | 46204
begin_date                     | 2026-06-09
end_date                       | 2029-06-08
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Elevance Health Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 16 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25345-476379
job_title                      | Senior Associate, Business Intelligence
employer_name                  | Sallie Mae Bank
secondary_entity_business_name | 
employer_phone                 | 13025095764
employer_poc_first_name        | Jennifer
employer_poc_last_name         | Gallone
employer_poc_email             | Jennifer.Gallone@salliemae.com
employer_poc_phone             | 13023915090
employer_poc_phone_ext         | 
worksite_address1              | 84 Christiana Road
worksite_address2              | Suite 86
worksite_city                  | New Castle
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 300 Continental Drive
employer_address2              | 
employer_city                  | Newark
employer_state                 | DE
employer_postal_code           | 19713
begin_date                     | 2026-06-08
end_date                       | 2029-06-07
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Sallie Mae Bank
soc_code                       | 15-2031.00
h_1b_dependent                 | No
-[ RECORD 17 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25342-464309
job_title                      | Associate, Software Engineer III
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 500 Stanton Christiana Rd
worksite_address2              | 
worksite_city                  | Newark
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-06-06
end_date                       | 2029-06-05
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 18 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25338-458561
job_title                      | SPECIALIST STUDY MANAGEMENT
employer_name                  | UNICON SCIENCES
secondary_entity_business_name | ASTRAZENECA
employer_phone                 | 19733702020
employer_poc_first_name        | SUSHMA
employer_poc_last_name         | PALLAGATTI
employer_poc_email             | HR@UNICONSCIENCES.COM
employer_poc_phone             | 19733702020
employer_poc_phone_ext         | 
worksite_address1              | 1800 CONCORD PIKE
worksite_address2              | 
worksite_city                  | WILMINGTON
worksite_county                | 
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 51 CRAGWOOD ROAD
employer_address2              | SUITE 106
employer_city                  | SOUTH PLAINFIELD
employer_state                 | NJ
employer_postal_code           | 07080
begin_date                     | 2026-06-05
end_date                       | 2029-06-04
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | UNICON SCIENCES
soc_code                       | 13-1041.07
h_1b_dependent                 | Yes
-[ RECORD 19 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25344-473686
job_title                      | Lead Systems Engineer, R&D
employer_name                  | Hologic Inc
secondary_entity_business_name | 
employer_phone                 | 15082638453
employer_poc_first_name        | Leslie
employer_poc_last_name         | Grenier
employer_poc_email             | micah.lightheart@hologic.com
employer_poc_phone             | 15082638453
employer_poc_phone_ext         | 
worksite_address1              | 600 Technology Dr
worksite_address2              | 
worksite_city                  | Newark
worksite_county                | 
lawfirm_name_business_name     | Corporate Immigration Partners PC
employer_address1              | 250 Campus Drive
employer_address2              | 
employer_city                  | Marlborough
employer_state                 | MA
employer_postal_code           | 01752
begin_date                     | 2026-06-05
end_date                       | 2029-06-04
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Hologic Inc
soc_code                       | 17-2071.00
h_1b_dependent                 | No
-[ RECORD 20 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25343-468995
job_title                      | Data Scientist - AVP
employer_name                  | Barclays Services LLC
secondary_entity_business_name | 
employer_phone                 | 12124124000
employer_poc_first_name        | Paul/Hope
employer_poc_last_name         | Imbimbo/Bak
employer_poc_email             | imamericasimmigration@barclays.com
employer_poc_phone             | 12124124000
employer_poc_phone_ext         | 
worksite_address1              | 125 South West Street
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Berry Appleman & Leiden LLP
employer_address1              | 745 Seventh Avenue
employer_address2              | 
employer_city                  | New York
employer_state                 | NY
employer_postal_code           | 10019
begin_date                     | 2026-06-01
end_date                       | 2029-05-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Barclays Services LLC
soc_code                       | 15-2051.00
h_1b_dependent                 | No
-[ RECORD 21 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25335-445548
job_title                      | Assistant Professor in Management Information Syst
employer_name                  | Delaware State University
secondary_entity_business_name | 
employer_phone                 | 13028576261
employer_poc_first_name        | Irene
employer_poc_last_name         | Hawkins
employer_poc_email             | ihawkins@desu.edu
employer_poc_phone             | 13028576261
employer_poc_phone_ext         | 
worksite_address1              | 1200 North Dupont Highway
worksite_address2              | 
worksite_city                  | Dover
worksite_county                | 
lawfirm_name_business_name     | Green & Spiegel LLC
employer_address1              | 1200 North Dupont Highway
employer_address2              | 
employer_city                  | Dover
employer_state                 | DE
employer_postal_code           | 19901
begin_date                     | 2026-05-31
end_date                       | 2029-05-30
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Delaware State University
soc_code                       | 25-1011.00
h_1b_dependent                 | No
-[ RECORD 22 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25338-457417
job_title                      | Vice President, Lead Software Engineer
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-05-30
end_date                       | 2029-05-29
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 23 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25336-448825
job_title                      | Associate, Software Engineer III
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-05-29
end_date                       | 2029-05-28
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 24 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25349-482246
job_title                      | Vice President, Lead Architect
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-05-23
end_date                       | 2029-05-22
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 25 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25325-430103
job_title                      | Speech Pathologist
employer_name                  | Red Clay Consolidated School District
secondary_entity_business_name | 
employer_phone                 | 13025523700
employer_poc_first_name        | Keenan
employer_poc_last_name         | Dorsey
employer_poc_email             | Keenand.Dorsey@redclay.k12.de.us
employer_poc_phone             | 13025523784
employer_poc_phone_ext         | 
worksite_address1              | 920 North Van Buren Street
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Kolko & Casey PC
employer_address1              | 1502 Spruce Avenue
employer_address2              | 
employer_city                  | Wilmington
employer_state                 | DE
employer_postal_code           | 19805
begin_date                     | 2026-05-23
end_date                       | 2029-05-22
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Red Clay Consolidated School District
soc_code                       | 29-1127.00
h_1b_dependent                 | No
-[ RECORD 26 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-492796
job_title                      | Software Development Engineering - Advisor I
employer_name                  | Fiserv Solutions LLC
secondary_entity_business_name | 
employer_phone                 | 12628795000
employer_poc_first_name        | Katherine
employer_poc_last_name         | Adams
employer_poc_email             | globalmobility.corporatehr@fiserv.com
employer_poc_phone             | 12628795000
employer_poc_phone_ext         | 
worksite_address1              | 1100 Carr Road
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Fragomen Del Rey Bernsen & Loewy LLP
employer_address1              | Fiserv, Inc., 600 N. Vel R. Phillips Avenue
employer_address2              | N/A
employer_city                  | Milwaukee
employer_state                 | WI
employer_postal_code           | 53203
begin_date                     | 2026-05-22
end_date                       | 2029-05-21
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Fiserv Solutions LLC
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 27 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25350-485757
job_title                      | Vice President, Manager of Software Engineering
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-05-22
end_date                       | 2029-05-21
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 28 ]-----------------+-----------------------------------------------------------------------------
case_number                    | I-200-25336-449142
job_title                      | Vice President, Data Scientist Lead
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 201 N Walnut St
